location_id,building_code,floor,location_kind,room_code,aliases,name_th,category,map_asset_id,x,y,detail_th,landmarks,source_node_id,source_x,source_y,flags
BR3-F1-PLFTOILET,BR3,1,poi,,,ห้องน้ำหญิง (ฝั่งซ้าย),toilet,br3-floor-1,127,356,อาคาร บร.3 ชั้น 1 ห้องน้ำหญิง (ฝั่งซ้าย),,LC3_LFToilet,87,316,
BR3-F1-PLMTOILET,BR3,1,poi,,,ห้องน้ำชาย (ฝั่งซ้าย),toilet,br3-floor-1,128,307,อาคาร บร.3 ชั้น 1 ห้องน้ำชาย (ฝั่งซ้าย),,LC3_LMToilet,88,267,
BR3-F1-PRFTOILET,BR3,1,poi,,,ห้องน้ำหญิง (ฝั่งขวา),toilet,br3-floor-1,1142,308,อาคาร บร.3 ชั้น 1 ห้องน้ำหญิง (ฝั่งขวา),,LC3_RFToilet,1102,268,
BR3-F1-PRMTOILET,BR3,1,poi,,,ห้องน้ำชาย (ฝั่งขวา),toilet,br3-floor-1,1145,358,อาคาร บร.3 ชั้น 1 ห้องน้ำชาย (ฝั่งขวา),,LC3_RMToilet,1105,318,
BR3-F1-PSTAIR-1,BR3,1,poi,,,บันได 1,stairs,br3-floor-1,160,340,อาคาร บร.3 ชั้น 1 บันได 1,,LC3_stair-1,120,300,
BR3-F1-PSTAIR-2,BR3,1,poi,,,บันได 2,stairs,br3-floor-1,622,270,อาคาร บร.3 ชั้น 1 บันได 2,,LC3_stair-2,582,230,
BR3-F1-PSTAIR-3,BR3,1,poi,,,บันได 3,stairs,br3-floor-1,1102,323,อาคาร บร.3 ชั้น 1 บันได 3,,LC3_stair-3,1062,283,
BR3-F1-R101,BR3,1,room,BR3-101,BR3-101|LC3-101|LC3_101|บร3-101|บร.3-101|101,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,br3-floor-1,543,230,อาคาร บร.3 ชั้น 1 ห้อง 101 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PRFTOILET:13|near_stairs:BR3-F1-PSTAIR-2:7,LC3_101,503,190,
BR3-F1-R101-1,BR3,1,room,BR3-101/1,BR3-101/1|LC3-101/1|LC3_101/1|บร3-101/1|บร.3-101/1|101/1,ห้องบรรยาย 4 (วิทยาศาสตร์สิ่งแวดล้อม),lecture_room,br3-floor-1,376,152,อาคาร บร.3 ชั้น 1 ห้อง 101/1 — ห้องบรรยาย 4 (วิทยาศาสตร์สิ่งแวดล้อม),near_toilet:BR3-F1-PLMTOILET:10|near_stairs:BR3-F1-PSTAIR-1:11,LC3_101/1,336,112,
BR3-F1-R101-2,BR3,1,room,BR3-101/2,BR3-101/2|LC3-101/2|LC3_101/2|บร3-101/2|บร.3-101/2|101/2,ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),seminar_room,br3-floor-1,421,152,อาคาร บร.3 ชั้น 1 ห้อง 101/2 — ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),near_toilet:BR3-F1-PLMTOILET:11|near_stairs:BR3-F1-PSTAIR-1:12,LC3_101/2,381,112,
