source_node_id,room_code,floor,subject,room_name_observed,nearest_landmark,relation,detail_th,observed_by,observed_at,evidence_ref,note
LC3_LFToilet,,1,toilet,,,,,,,,"ยืนยัน ""ห้องน้ำหญิง (ฝั่งซ้าย)"" (อนุมานจากรหัส node)"
LC3_LMToilet,,1,toilet,,,,,,,,"ยืนยัน ""ห้องน้ำชาย (ฝั่งซ้าย)"" (อนุมานจากรหัส node)"
LC3_RFToilet,,1,toilet,,,,,,,,"ยืนยัน ""ห้องน้ำหญิง (ฝั่งขวา)"" (อนุมานจากรหัส node)"
LC3_RMToilet,,1,toilet,,,,,,,,"ยืนยัน ""ห้องน้ำชาย (ฝั่งขวา)"" (อนุมานจากรหัส node)"
LC3_stair-1,,1,stairs,,,,,,,,"ยืนยัน ""บันได 1"" (อนุมานจากรหัส node)"
LC3_stair-2,,1,stairs,,,,,,,,"ยืนยัน ""บันได 2"" (อนุมานจากรหัส node)"
LC3_stair-3,,1,stairs,,,,,,,,"ยืนยัน ""บันได 3"" (อนุมานจากรหัส node)"
LC3_125,BR3-125,1,unnamed_room,,,,,,,,ไม่มีชื่อห้องในข้อมูลต้นทาง — อ่านจากป้ายหน้าห้อง
LC3_126,BR3-126,1,unnamed_room,,,,,,,,ไม่มีชื่อห้องในข้อมูลต้นทาง — อ่านจากป้ายหน้าห้อง
LC3_135,BR3-135,1,unnamed_room,,,,,,,,ไม่มีชื่อห้องในข้อมูลต้นทาง — อ่านจากป้ายหน้าห้อง
LC3_LFTL,,2,toilet,,,,,,,,"ยืนยัน ""ห้องน้ำหญิง (ฝั่งซ้าย)"" (อนุมานจากรหัส node)"
LC3_LMTL,,2,toilet,,,,,,,,"ยืนยัน ""ห้องน้ำชาย (ฝั่งซ้าย)"" (อนุมานจากรหัส node)"
LC3_RFTL,,2,toilet,,,,,,,,"ยืนยัน ""ห้องน้ำหญิง (ฝั่งขวา)"" (อนุมานจากรหัส node)"
LC3_RMTL,,2,toilet,,,,,,,,"ยืนยัน ""ห้องน้ำชาย (ฝั่งขวา)"" (อนุมานจากรหัส node)"
LC3_F2_stair-1,,2,stairs,,,,,,,,"ยืนยัน ""บันได 1"" (อนุมานจากรหัส node)"
LC3_F2_stair-2,,2,stairs,,,,,,,,"ยืนยัน ""บันได 2"" (อนุมานจากรหัส node)"
LC3_F2_stair-3,,2,stairs,,,,,,,,"ยืนยัน ""บันได 3"" (อนุมานจากรหัส node)"
LC3_F2_210/1,BR3-210/1,2,unnamed_room,,,,,,,,ไม่มีชื่อห้องในข้อมูลต้นทาง — อ่านจากป้ายหน้าห้อง
LC3_F2_211/1,BR3-211/1,2,unnamed_room,,,,,,,,ไม่มีชื่อห้องในข้อมูลต้นทาง — อ่านจากป้ายหน้าห้อง
LC3_F2_211/2,BR3-211/2,2,unnamed_room,,,,,,,,ไม่มีชื่อห้องในข้อมูลต้นทาง — อ่านจากป้ายหน้าห้อง
,,1,elevator,,,,,,,,ไม่มี node ลิฟต์ในข้อมูลต้นทาง — ระบุตำแหน่งจากหน้างาน
,,2,elevator,,,,,,,,ไม่มี node ลิฟต์ในข้อมูลต้นทาง — ระบุตำแหน่งจากหน้างาน
,,1,building_entrance,,,,,,,,ทางเข้าอาคารหลัก — ระบุตำแหน่งและฝั่ง
,,1,building_entrance,,,,,,,,ทางเข้าอาคารรอง — ระบุตำแหน่งและฝั่ง
