location_id,building_code,floor,location_kind,room_code,aliases,name_th,category,map_asset_id,x,y,detail_th,landmarks,source_node_id,source_x,source_y,flags
LC3-F1-PLFTOILET,LC3,1,poi,,,ห้องน้ำหญิง (ฝั่งซ้าย),toilet,lc3-floor-1,127,356,อาคาร LC3 ชั้น 1 ห้องน้ำหญิง (ฝั่งซ้าย),,LC3_LFToilet,87,316,
LC3-F1-PLMTOILET,LC3,1,poi,,,ห้องน้ำชาย (ฝั่งซ้าย),toilet,lc3-floor-1,128,307,อาคาร LC3 ชั้น 1 ห้องน้ำชาย (ฝั่งซ้าย),,LC3_LMToilet,88,267,
LC3-F1-PRFTOILET,LC3,1,poi,,,ห้องน้ำหญิง (ฝั่งขวา),toilet,lc3-floor-1,1142,308,อาคาร LC3 ชั้น 1 ห้องน้ำหญิง (ฝั่งขวา),,LC3_RFToilet,1102,268,
LC3-F1-PRMTOILET,LC3,1,poi,,,ห้องน้ำชาย (ฝั่งขวา),toilet,lc3-floor-1,1145,358,อาคาร LC3 ชั้น 1 ห้องน้ำชาย (ฝั่งขวา),,LC3_RMToilet,1105,318,
LC3-F1-PSTAIR-1,LC3,1,poi,,,บันได 1,stairs,lc3-floor-1,160,340,อาคาร LC3 ชั้น 1 บันได 1,,LC3_stair-1,120,300,
LC3-F1-PSTAIR-2,LC3,1,poi,,,บันได 2,stairs,lc3-floor-1,622,270,อาคาร LC3 ชั้น 1 บันได 2,,LC3_stair-2,582,230,
LC3-F1-PSTAIR-3,LC3,1,poi,,,บันได 3,stairs,lc3-floor-1,1102,323,อาคาร LC3 ชั้น 1 บันได 3,,LC3_stair-3,1062,283,
LC3-F1-R101,LC3,1,room,LC3-101,LC3-101|LC3_101|101,ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),faculty_office,lc3-floor-1,543,230,อาคาร LC3 ชั้น 1 ห้อง 101 — ห้องพักอาจารย์ (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PRFTOILET:13|near_stairs:LC3-F1-PSTAIR-2:7,LC3_101,503,190,
LC3-F1-R101-1,LC3,1,room,LC3-101/1,LC3-101/1|LC3_101/1|101/1,ห้องบรรยาย 4 (วิทยาศาสตร์สิ่งแวดล้อม),lecture_room,lc3-floor-1,376,152,อาคาร LC3 ชั้น 1 ห้อง 101/1 — ห้องบรรยาย 4 (วิทยาศาสตร์สิ่งแวดล้อม),near_toilet:LC3-F1-PLMTOILET:10|near_stairs:LC3-F1-PSTAIR-1:11,LC3_101/1,336,112,
LC3-F1-R101-2,LC3,1,room,LC3-101/2,LC3-101/2|LC3_101/2|101/2,ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),seminar_room,lc3-floor-1,421,152,อาคาร LC3 ชั้น 1 ห้อง 101/2 — ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PLMTOILET:11|near_stairs:LC3-F1-PSTAIR-1:12,LC3_101/2,381,112,
LC3-F1-R102-1,LC3,1,room,LC3-102/1,LC3-102/1|LC3_102/1|102/1,ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),seminar_room,lc3-floor-1,517,84,อาคาร LC3 ชั้น 1 ห้อง 102/1 — ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PLMTOILET:14|near_stairs:LC3-F1-PSTAIR-2:10,LC3_102/1,477,44,
LC3-F1-R102-2,LC3,1,room,LC3-102/2,LC3-102/2|LC3_102/2|102/2,ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),seminar_room,lc3-floor-1,485,85,อาคาร LC3 ชั้น 1 ห้อง 102/2 — ห้องสัมมนาบัณฑิตศึกษา (คณิตศาสตร์และสถิติ),near_toilet:LC3-F1-PLMTOILET:13|near_stairs:LC3-F1-PSTAIR-2:11,LC3_102/2,445,45,
