event_code,event_name,room_code,day_of_week,start_time,end_time,event_type
BAS353,"Exam - BAS353",LC3-103,"6 พฤษภาคม 2569",09:00,12:00,Exam
ASC332,"Exam - ASC332",LC3-103,"7 พฤษภาคม 2569",09:00,12:00,Exam
AT407,"Exam - AT407 (Seats 1-6)",LC3-103,"15 พฤษภาคม 2569",09:00,12:00,Exam
ST326,"Exam - ST326 (Seats 1-10)",LC3-103,"15 พฤษภาคม 2569",09:00,12:00,Exam
BAS350,"Exam - BAS350",LC3-103,"18 พฤษภาคม 2569",13:00,16:00,Exam
MR436,"MR436",LC3-103,"Monday",09:30,12:30,Class
ES476,"ES476 (Note: ย้ายไปเรียน บร.3 ชั้น 2 ห้อง 230)",LC3-103,"Monday",13:30,16:30,Class
CS361,"CS361",LC3-103,"Tuesday",08:00,11:00,Class
CS379,"CS379",LC3-103,"Tuesday",11:00,12:30,Class
CS379,"CS379",LC3-103,"Thursday",11:00,12:30,Class
ES203,"ES203",LC3-103,"Thursday",13:30,15:30,Class
ES206,"ES206",LC3-103,"Wednesday",08:00,09:30,Class
ES206,"ES206",LC3-103,"Friday",08:00,09:30,Class
NP308,"NP308",LC3-103,"Wednesday",09:30,11:30,Class
ES436,"ES436",LC3-103,"Friday",09:30,12:30,Class
วล202,"วล202 (SC202)",LC3-103,"Wednesday",13:30,15:30,Class
NR201,"NR201",LC3-103,"Wednesday",16:30,19:30,Class
NP307,"Exam - NP307 (Seats 1-3)",LC3-104,"8 พฤษภาคม 2569",09:00,12:00,Exam
CS352,"Exam - CS352 (Seats 8-14)",LC3-104,"8 พฤษภาคม 2569",09:00,12:00,Exam
NP307,"Exam - NP307 (Seats 4-7)",LC3-104,"8 พฤษภาคม 2569",09:00,12:00,Exam
ST218,"Exam - ST218 (Seats 1-10)",LC3-104,"15 พฤษภาคม 2569",09:00,12:00,Exam
NP310,"NP310",LC3-104,"Monday",09:30,11:30,Class
ST477,"ST477",LC3-104,"Monday",13:30,16:30,Class
MR336,"MR336",LC3-104,"Tuesday",09:30,11:00,Class
MR336,"MR336",LC3-104,"Thursday",09:30,11:00,Class
AM328,"AM328",LC3-104,"Tuesday",11:00,12:30,Class
AM328,"AM328",LC3-104,"Thursday",11:00,12:30,Class
ES468,"ES468",LC3-104,"Thursday",13:30,15:30,Class
CS341,"CS341",LC3-104,"Wednesday",08:00,09:30,Class
CS341,"CS341",LC3-104,"Friday",08:00,09:30,Class
ASC,"ASC",LC3-104,"Wednesday",09:30,12:30,Class
ES339,"ES339",LC3-104,"Friday",09:30,12:30,Class
ST326,"ST326",LC3-104,"Wednesday",13:30,15:00,Class
ST326,"ST326",LC3-104,"Friday",13:30,15:00,Class
CS335,"CS335",LC3-104,"Wednesday",15:00,16:30,Class
CS335,"CS335",LC3-104,"Friday",15:00,16:30,Class
CS140,"Exam - CS140",LC3-105,"8 พฤษภาคม 2569",09:00,12:00,Exam
CS100,"CS100 (Note: CS100 ของ ภาคพิเศษ)",LC3-105,"Monday",09:30,12:30,Class
PHY621,"PHY621",LC3-105,"Tuesday",08:00,11:00,Class
MA437,"MA437",LC3-105,"Tuesday",11:00,12:30,Class
MA437,"MA437",LC3-105,"Thursday",11:00,12:30,Class
ES479,"ES479",LC3-105,"Thursday",13:30,16:30,Class
CS373,"CS373",LC3-105,"Wednesday",08:00,09:30,Class
CS373,"CS373",LC3-105,"Friday",08:00,09:30,Class
PC386,"PC386",LC3-105,"Wednesday",09:30,12:30,Class
ES469,"ES469",LC3-105,"Friday",09:30,12:30,Class
AM231,"AM231",LC3-105,"Wednesday",13:30,15:00,Class
AM231,"AM231",LC3-105,"Friday",13:30,15:00,Class
AM326,"AM326",LC3-105,"Wednesday",15:00,16:30,Class
AM326,"AM326",LC3-105,"Friday",15:00,16:30,Class
CS100,"CS100 (Note: CS100 ของ ภาคพิเศษ)",LC3-106,"Monday",09:30,12:30,Class
MR446,"MR446",LC3-106,"Tuesday",08:00,09:30,Class
MR446,"MR446",LC3-106,"Thursday",08:00,09:30,Class
CS224,"CS224",LC3-106,"Tuesday",09:30,11:00,Class
CS224,"CS224",LC3-106,"Thursday",09:30,11:00,Class
AM447,"AM447",LC3-106,"Tuesday",11:00,12:30,Class
AM447,"AM447",LC3-106,"Thursday",11:00,12:30,Class
AM427,"AM427",LC3-106,"Tuesday",13:30,15:00,Class
AM427,"AM427",LC3-106,"Thursday",13:30,15:00,Class
MR447,"MR447",LC3-106,"Tuesday",15:00,16:30,Class
MR447,"MR447",LC3-106,"Thursday",15:00,16:30,Class
NP318,"NP318",LC3-106,"Wednesday",09:30,11:30,Class
ES476,"ES476",LC3-106,"Friday",09:30,12:30,Class
MA121,"MA121",LC3-106,"Wednesday",13:30,15:00,Class
MA121,"MA121",LC3-106,"Friday",13:30,15:00,Class
CS450,"CS450",LC3-107,"Monday",09:30,12:30,Class
NP416,"NP416",LC3-107,"Tuesday",09:30,11:30,Class
RT486,"RT486",LC3-107,"Thursday",09:30,12:30,Class
PC341,"PC341",LC3-107,"Tuesday",13:30,15:00,Class
PC341,"PC341",LC3-107,"Thursday",13:30,15:00,Class
CS348,"CS348",LC3-107,"Tuesday",15:00,16:30,Class
CS348,"CS348",LC3-107,"Thursday",15:00,16:30,Class
MA317,"MA317",LC3-107,"Wednesday",09:30,11:00,Class
MA317,"MA317",LC3-107,"Friday",09:30,11:00,Class
CS346,"CS346",LC3-107,"Wednesday",11:00,12:30,Class
CS346,"CS346",LC3-107,"Friday",11:00,12:30,Class
NP202,"NP202",LC3-107,"Wednesday",13:30,16:30,Class
ASC351,"ASC351",LC3-107,"Friday",13:30,16:30,Class
CS345,"CS345",LC3-108,"Tuesday",09:30,11:00,Class
CS345,"CS345",LC3-108,"Thursday",09:30,11:00,Class
PC357,"PC357",LC3-108,"Tuesday",11:00,12:30,Class
PC357,"PC357",LC3-108,"Thursday",11:00,12:30,Class
PC406,"PC406",LC3-108,"Thursday",13:30,16:30,Class
