source_node_id,source_name,node_type,floor,source_x,source_y,map_asset_id,x,y,room_code,location_kind,category,name_th,name_verification,disposition,reason,flags
LC3_entry_101,entry_101,entrance,1,581,190,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
"LC3_entry_101/1,104","entry_101/1,104",entrance,1,336,76,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_101/2,entry_101/2,entrance,1,381,76,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_102/1,entry_102/1,entrance,1,477,76,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_102/2,entry_102/2,entrance,1,445,76,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_103,entry_103,entrance,1,400,76,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
"LC3_entry_104/1,105","entry_104/1,105",entrance,1,287,76,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_105,entry_105,entrance,1,153,357,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_106,entry_106,entrance,1,238,76,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_107,entry_107,entrance,1,211,76,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_108,entry_108,entrance,1,176,76,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
"LC3_entry_108/1,109","entry_108/1,109",entrance,1,132,50,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_110,entry_110,entrance,1,153,102,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_111,entry_111,entrance,1,153,170,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_116,entry_116,entrance,1,153,423,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_117,entry_117,entrance,1,131,483,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
"LC3_entry_118,119","entry_118,119",entrance,1,184,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
"LC3_entry_118/1,119/2","entry_118/1,119/2",entrance,1,227,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_119/1,entry_119/1,entrance,1,206,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_119/3,entry_119/3,entrance,1,251,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_119/4,entry_119/4,entrance,1,272,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
"LC3_entry_119/5,120","entry_119/5,120",entrance,1,292,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
"LC3_entry_121,122","entry_121,122",entrance,1,368,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
"LC3_entry_121/1,121/2","entry_121/1,121/2",entrance,1,438,471,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_121/3,entry_121/3,entrance,1,487,470,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_121/4,entry_121/4,entrance,1,718,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_121/5,entry_121/5,entrance,1,765,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
"LC3_entry_122/1,122/2","entry_122/1,122/2",entrance,1,438,421,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_122/2-5,entry_122/2-5,entrance,1,496,422,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_122/6,entry_122/6,entrance,1,554,423,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_123,entry_123,entrance,1,798,444,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_123/1,entry_123/1,entrance,1,798,508,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_124/2,entry_124/2,entrance,1,966,426,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
"LC3_entry_125,126","entry_125,126",entrance,1,1033,628,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_127,entry_127,entrance,1,1011,509,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_128,entry_128,entrance,1,1052,509,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_129,entry_129,entrance,1,1096,509,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_130,entry_130,entrance,1,1043,318,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_131,entry_131,entrance,1,1063,318,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_132,entry_132,entrance,1,1098,400,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_135,entry_135,entrance,1,1020,173,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_136,entry_136,entrance,1,1020,121,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
LC3_entry_137/1,entry_137/1,entrance,1,976,121,,,,,,,,,exclude_out_of_scope,routing_topology_out_of_v1_scope,
